SA,500,0.55,testing accuracy,78.923,training time,10.068,testing time,0.007
SA,500,0.65,training accuracy,81.723,training time,10.048,testing time,0.017
SA,500,0.65,testing accuracy,82.863,training time,10.048,testing time,0.007
SA,500,0.75,training accuracy,83.498,training time,10.189,testing time,0.016
SA,500,0.75,testing accuracy,83.388,training time,10.189,testing time,0.008
SA,500,0.85,training accuracy,82.118,training time,10.102,testing time,0.015
SA,500,0.85,testing accuracy,82.797,training time,10.102,testing time,0.006
SA,500,0.95,training accuracy,47.930,training time,10.104,testing time,0.016
SA,500,0.95,testing accuracy,47.669,training time,10.104,testing time,0.007
SA,1000,0.15,training accuracy,91.411,training time,20.043,testing time,0.017
SA,1000,0.15,testing accuracy,91.333,training time,20.043,testing time,0.007
SA,1000,0.25,training accuracy,91.045,training time,20.132,testing time,0.017
SA,1000,0.25,testing accuracy,91.464,training time,20.132,testing time,0.007
SA,1000,0.35,training accuracy,91.270,training time,20.127,testing time,0.015
SA,1000,0.35,testing accuracy,91.530,training time,20.127,testing time,0.008
SA,1000,0.45,training accuracy,89.214,training time,20.091,testing time,0.016
SA,1000,0.45,testing accuracy,89.691,training time,20.091,testing time,0.007
SA,1000,0.55,training accuracy,91.242,training time,20.352,testing time,0.015
SA,1000,0.55,testing accuracy,91.727,training time,20.352,testing time,0.007
SA,1000,0.65,training accuracy,91.129,training time,20.351,testing time,0.017
SA,1000,0.65,testing accuracy,91.136,training time,20.351,testing time,0.007
SA,1000,0.75,training accuracy,90.651,training time,20.174,testing time,0.015
SA,1000,0.75,testing accuracy,91.136,training time,20.174,testing time,0.008
SA,1000,0.85,training accuracy,84.540,training time,20.208,testing time,0.015
SA,1000,0.85,testing accuracy,85.620,training time,20.208,testing time,0.006
SA,1000,0.95,training accuracy,76.908,training time,20.204,testing time,0.016
SA,1000,0.95,testing accuracy,77.282,training time,20.204,testing time,0.007
SA,2500,0.15,training accuracy,94.171,training time,50.515,testing time,0.016
SA,2500,0.15,testing accuracy,93.828,training time,50.515,testing time,0.007
SA,2500,0.25,training accuracy,94.678,training time,50.597,testing time,0.017
SA,2500,0.25,testing accuracy,93.959,training time,50.597,testing time,0.007
